3058    116 1 5950 0  0   01 92 51121 1  82332123113121 6 5 7 62969600000000 00000000096969696 7 4 5 6 3 8 2 1 7 1296960000000296960000    0000 5 4 7 3 8 3 2 12969600000000000 5 8 8 9 7 6 8 1223484233119921111112231821  1 1201113142   11995 013913 4321161140 31611  1996  0 99911  000116  01                                  2111  1                        16 3151 201          963 62 61960 330,929
3058    216 1 5950 0  0   01 52 11121    11112111111111 5 3 6 51 4 021113234 32222000096969696 6 4 5 699 2 1 2 5 21 1 02442033296960000    0000 6 7 5 8 7 2 2 22969600000000000 2 7 7 9 8 7 8 212342433211992111111222222200000120218131   189919926713 2412782013 45816 10996  0 8 111  000116  01                                  2222  2                        16 3151 2511  1   1 6992 84 829601140,929
3058    316 1 5950 0  0   01 21 81821 1  11112123111112 8 8 7 81 1 011220222 01122220096969696 8 5 9 7 8 9 5 3 8 31 2 02442022296960000    0000 7 8 8 9 9 4 3 32969600000000000 5 7 8 8 7 9 8 332348423331992111122211282200000201224141   12 31151481311221161140 31611  1996  0 9 711  000116  01                                  2111  3  2  2                  16 3151 2011  1   1 6956 62 61960 330,929
3058    416 1 5950 0  0   01 91101121    11111111111142 8 9 7 81 2 011220123 12222000096969696 7 5 8 8 9 8 6 6 8 42969600000001 2 01112 7 02012 5 8 9 9 8 7 6 42969600000000000 6 8 8 9 9 9 9 412444423281992111112213382200000203414141   12 85 028233 2221253030 47611  1996  0 8 811  0001 8  01                                  2211  4  5  2        1  2      16 3151 3011  1   1 6962 54 61960 830,929
3058    516 1 5950 0  0   01 92 41811    22112122111142 6 5 7 71 1 011120232 02222000096969696 7 6 8 8 7 9 3 4 8 5296960000000296960000    0000 4 7 7 8 8 5 4 52969600000000000 5 7 8 9 8 7 9 522342443232991111111223182200000204213142   12 44 012123 4123161140 31611  1611  110 711  000116  01                                  2111  5  6  3        1  2      17 3152 2531  1   1 6963 62 61 61 330,929
3058    616 1 5950 0  0   01 91 31881    12112122112142 6 7 6 62969600000000 00000000096969696 7 6 5 6 7 8 4 3 8 62969600000001 2 0231297972032 5 6 7 7 7 4 3 62969600000000000 5 7 8 9 7 6 9 682442433232992111122223132200000201113141   12985 012523 5322161140 31611  1611  1 9 611  000116  01                                  2121  6  6  3        1  2      17 3152 2531  1   1 6965 62 61 61 330,929
3058    716 1 5950 0  0   01 93 51221 1  11112112111111 9 9 8 9115 111220111 01212201096961096 9 8 8 9 9 9 7 8 8 71 5 024420211 1 1111215 12011 8 9 8 9 8 7 6 71 1 011202221211 6 8 8 8 9 8 9 732842433325992111111231182200000204124138   12 519924813 7123161140 31611  1611  110 811  000116  01                                  2111  7 10  4        2  4      17 3152 4531  1   1 6995 62 61 61 330,929
3058    816 1 5950 0  0   01 81 71121    22112122111141 8 7 7 81 1 011220134 11222200096969696 7 6 8 7 7 9 5 4 8 82969600000001 1 01212 0 42013 8 9 8 8 9 5 4 12969600000000000 5 8 9 9 8 8 7 131342443331992211122233282200000204813238   12 44 022123 6122659211 84592 84996  0 8 111  000116  01                                  2111  8 15  6  1  1  2  5      17 3152 2531  1   1 6964 54 549601020,929
3058    916 1 5950 0  0   01 51 81121    11112111111122 8 9 8 81 2 011220133 1121220109696 996 8 7 9 8 8 9 6 5 8 9296960000000296960000    0000 7 8 9 8 9 7 5 22969600000000000 4 8 8 7 9 8 9 211341442115992211111223382200000203213181   12991 726033 4321161140 31620  1620  1 7 711  0001 8  01    22                            2111  9 15  6  1  1  2  5      18 3153 3511  1   1 6153 62 61 61 330,929
3058   1016 1  010 0  0   01 92 71821    12332332122221 8 7 4 52969600000000 00000000096969696 8 8 9 7 7 6 6 6 6 1296960000000296960000    0000 8 9 6 6 6 6 6 22969600000000000 6 6 6 3 8 8 6 323443433388991111118333382200000203214142   12 21 61501311221121340 75782 16996  0999911  000116  011                                 2112  1     4  2  3  4         17 3152 2021  1   1 6156 24 72960 110,929
